"Date","Price","Open","High","Low","Vol.","Change %"
"27/03/2023","7.68","8.37","8.45","7.83","0.50K","-2.44%"
"24/03/2023","7.87","8.83","8.83","7.99","0.49K","-8.89%"
"23/03/2023","8.64","8.83","8.83","8.45","0.76K","-1.32%"
"22/03/2023","8.76","9.06","9.60","8.91","0.20K","-0.44%"
"21/03/2023","8.79","8.22","9.14","7.91","1.83K","19.90%"
"20/03/2023","7.33","7.22","7.83","7.14","0.59K","-2.55%"
"17/03/2023","7.53","7.68","7.68","7.45","0.26K","-2.49%"
"16/03/2023","7.72","7.68","7.68","7.53","0.34K","7.49%"
"15/03/2023","7.18","7.60","7.60","6.76","0.47K","-2.60%"
"14/03/2023","7.37","7.68","7.91","7.53","0.55K","-1.03%"
"13/03/2023","7.45","6.68","7.76","5.45","3.34K","5.43%"
"10/03/2023","7.07","7.07","7.07","6.07","1.86K","-13.62%"
"09/03/2023","8.18","8.45","8.68","7.99","0.88K","-8.58%"
"08/03/2023","8.95","9.06","9.68","8.68","1.57K","0.87%"
"07/03/2023","8.87","8.91","9.06","8.76","0.89K","-3.35%"
"06/03/2023","9.18","9.14","9.37","8.76","1.59K","1.70%"
"03/03/2023","9.02","8.29","9.14","7.91","2.42K","23.68%"
"02/03/2023","7.30","7.14","7.30","6.91","1.40K","0.00%"
"01/03/2023","7.30","7.83","8.06","7.45","4.29K","-9.52%"
"28/02/2023","8.06","8.45","8.52","7.99","1.55K","-11.02%"
"27/02/2023","9.06","8.99","8.99","8.29","2.12K","-1.26%"
"24/02/2023","9.18","8.76","8.76","7.68","0.76K","1.70%"
"23/02/2023","9.02","10.06","10.21","8.14","0.81K","0.86%"
"22/02/2023","8.95","10.06","10.06","8.83","0.59K","-11.41%"
"21/02/2023","10.10","12.98","12.98","9.68","1.08K","-10.85%"
"20/02/2023","11.33","13.52","13.98","13.52","0.04K","-11.14%"
"17/02/2023","12.75","13.29","15.05","12.90","0.69K","-24.20%"
"16/02/2023","16.82","17.74","17.74","15.28","0.32K","-0.23%"
"15/02/2023","16.86","13.36","16.90","12.52","1.47K","44.41%"
"14/02/2023","11.67","13.13","13.13","10.60","2.43K","41.40%"
"13/02/2023","8.26","8.22","8.29","7.99","0.21K","-0.46%"
"10/02/2023","8.29","9.75","9.83","8.37","0.46K","-19.40%"
"09/02/2023","10.29","10.68","11.52","10.37","1.36K","-3.94%"
"08/02/2023","10.71","11.14","11.52","11.06","0.04K","2.95%"
"07/02/2023","10.41","10.98","11.21","10.44","0.50K","-10.56%"
"06/02/2023","11.64","11.06","11.52","10.44","1.00K","-12.68%"
"03/02/2023","13.32","12.90","13.29","11.83","0.58K","-4.41%"
"02/02/2023","13.94","11.83","14.05","11.60","18.01K","44.62%"
"01/02/2023","9.64","9.52","10.14","9.37","1.35K","0.00%"
"31/01/2023","9.64","7.76","9.22","7.68","0.35K","11.56%"
"30/01/2023","8.64","8.45","8.76","8.29","0.27K","10.84%"
"27/01/2023","7.80","7.60","7.83","7.60","0.10K","7.98%"
"26/01/2023","7.22","8.14","8.14","7.60","0.96K","6.82%"
"25/01/2023","6.76","7.30","7.30","6.14","0.46K","-11.11%"
"24/01/2023","7.60","8.68","8.68","7.60","0.33K","-1.98%"
"23/01/2023","7.76","7.37","7.83","7.14","0.45K","13.48%"
"20/01/2023","6.84","6.76","6.76","6.53","0.59K","5.95%"
"19/01/2023","6.45","7.14","7.14","6.60","0.72K","-10.16%"
"18/01/2023","7.18","7.76","7.76","7.45","0.18K","2.75%"
"17/01/2023","6.99","7.30","7.37","6.53","0.20K","-7.61%"
"16/01/2023","7.56","7.37","7.68","7.37","0.56K","7.07%"
"13/01/2023","7.07","7.53","7.53","7.07","0.16K","2.79%"
"12/01/2023","6.87","7.22","7.22","6.84","0.85K","0.56%"
"11/01/2023","6.84","6.60","6.99","6.45","1.18K","12.66%"
"10/01/2023","6.07","6.07","6.22","5.68","0.39K","-1.86%"
"09/01/2023","6.18","5.91","5.91","5.84","0.03K","14.18%"
"06/01/2023","5.41","5.38","5.68","4.99","0.11K","-3.42%"
"05/01/2023","5.61","5.99","6.30","5.38","1.12K","-10.43%"
"04/01/2023","6.26","5.76","6.53","5.76","0.45K","11.64%"
"03/01/2023","5.61","6.14","6.14","5.53","0.35K","0.00%"
"30/12/2022","5.61","5.61","5.61","5.61","0.04K","-2.01%"
"29/12/2022","5.72","5.07","5.68","5.07","1.23K","20.16%"
"28/12/2022","4.76","4.92","4.92","4.61","0.70K","-13.29%"
"23/12/2022","5.49","0.01","0.01","0.01","","0.00%"
"22/12/2022","5.49","6.14","6.14","5.45","1.33K","-3.38%"
"21/12/2022","5.68","5.76","5.76","5.68","0.04K","1.37%"
"20/12/2022","5.61","5.76","5.99","5.45","0.52K","-7.59%"
"19/12/2022","6.07","7.91","7.91","6.22","0.66K","-27.85%"
"16/12/2022","8.41","7.68","8.06","7.30","1.61K","-7.98%"
"15/12/2022","9.14","8.76","8.76","8.37","0.07K","-8.11%"
"14/12/2022","9.95","10.29","10.29","9.91","0.05K","-5.82%"
"13/12/2022","10.56","10.29","11.06","10.29","1.22K","20.09%"
"12/12/2022","8.79","8.60","8.60","8.60","0.02K","4.57%"
"09/12/2022","8.41","8.60","8.60","8.22","0.07K","-6.41%"
"08/12/2022","8.99","8.52","8.60","8.06","0.27K","4.93%"
"07/12/2022","8.56","8.06","9.14","7.91","0.10K","5.69%"
"06/12/2022","8.10","9.14","9.14","7.68","1.05K","-22.99%"
"05/12/2022","10.52","10.83","10.83","10.14","0.21K","-1.79%"
"02/12/2022","10.71","11.52","11.52","10.60","0.21K","-6.69%"
"01/12/2022","11.48","10.37","11.52","10.06","0.74K","31.72%"
"30/11/2022","8.72","9.83","9.83","8.83","0.17K","-10.98%"
"29/11/2022","9.79","9.22","9.22","9.06","0.04K","4.94%"
"28/11/2022","9.33","0.01","0.01","0.01","","-6.18%"
"25/11/2022","9.95","10.21","10.21","9.22","0.14K","-1.15%"
"24/11/2022","10.06","0.01","0.01","0.01","","4.80%"
"23/11/2022","9.60","10.14","10.14","8.99","0.09K","7.30%"
"22/11/2022","8.95","9.45","9.45","8.83","0.44K","-0.43%"
"21/11/2022","8.99","9.22","9.22","8.83","0.11K","-10.00%"
"18/11/2022","9.98","11.21","11.60","9.98","0.14K","-12.46%"
"17/11/2022","11.40","13.21","13.21","11.37","0.35K","-13.66%"
"16/11/2022","13.21","14.36","14.36","13.29","0.17K","-8.99%"
"15/11/2022","14.52","14.05","14.98","13.82","0.20K","8.31%"
"14/11/2022","13.40","14.13","14.59","13.59","1.25K","1.45%"
"11/11/2022","13.21","11.60","13.29","11.44","0.52K","14.67%"
"10/11/2022","11.52","9.14","12.44","8.91","1.05K","14.07%"
"09/11/2022","10.10","10.06","10.06","9.37","0.07K","-2.23%"
"08/11/2022","10.33","9.52","9.68","9.14","0.17K","13.50%"
"07/11/2022","9.10","14.59","14.82","9.37","2.35K","-33.98%"
"04/11/2022","13.79","15.36","15.82","13.82","0.29K","-9.57%"
"03/11/2022","15.24","15.36","15.36","14.36","0.18K","-15.89%"
"02/11/2022","18.12","18.36","18.36","18.12","0.08K","-4.07%"
"01/11/2022","18.89","21.04","21.58","18.89","0.19K","-2.77%"
"31/10/2022","19.43","18.66","19.20","17.66","0.19K","9.05%"
"28/10/2022","17.82","18.28","18.28","17.13","0.15K","-4.53%"
"27/10/2022","18.66","20.97","20.97","18.05","0.19K","-17.91%"
"26/10/2022","22.73","19.20","21.04","19.20","0.14K","27.59%"
"25/10/2022","17.82","16.36","17.66","16.28","0.04K","13.17%"
"24/10/2022","15.74","15.97","15.97","15.13","0.23K","3.27%"
"21/10/2022","15.24","14.44","14.59","14.36","0.60K","-4.57%"
"20/10/2022","15.97","14.90","14.90","14.13","0.02K","6.67%"
"19/10/2022","14.98","15.90","15.90","14.90","0.06K","-4.18%"
"18/10/2022","15.63","15.44","16.51","15.44","0.25K","6.54%"
"17/10/2022","14.67","13.90","14.67","13.29","0.07K","2.69%"
"14/10/2022","14.28","14.28","14.52","14.28","0.07K","-7.92%"
"13/10/2022","15.51","15.74","15.82","13.98","0.05K","1.25%"
"12/10/2022","15.32","15.36","15.44","14.82","0.11K","-2.68%"
"11/10/2022","15.74","15.28","15.28","13.90","0.04K","3.02%"
"10/10/2022","15.28","15.74","15.90","14.98","0.17K","-9.55%"
"07/10/2022","16.90","18.12","18.12","16.44","0.16K","-7.17%"
"06/10/2022","18.20","18.28","18.28","17.28","0.51K","9.22%"
"05/10/2022","16.67","17.43","17.82","16.13","0.19K","-13.03%"
"04/10/2022","19.16","18.59","18.89","18.05","0.14K","15.51%"
"03/10/2022","16.59","16.82","17.13","15.36","0.35K","-8.86%"
"30/09/2022","18.20","16.44","18.28","15.97","0.32K","8.22%"
"29/09/2022","16.82","14.52","16.05","14.52","1.01K","10.61%"
"28/09/2022","15.21","13.06","15.05","12.98","0.10K","8.49%"
"27/09/2022","14.02","13.90","14.67","13.90","0.55K","-1.88%"
"26/09/2022","14.28","12.21","14.13","12.21","0.34K","21.57%"
"23/09/2022","11.75","12.67","12.67","11.52","0.53K","-12.07%"
"22/09/2022","13.36","14.44","14.75","13.13","0.45K","-12.34%"
"21/09/2022","15.24","14.21","15.51","13.82","0.58K","-1.24%"
"20/09/2022","15.44","15.28","15.44","14.90","0.96K","3.08%"
"16/09/2022","14.98","15.51","15.59","14.36","0.31K","-12.16%"
"15/09/2022","17.05","13.98","15.28","13.82","0.35K","28.32%"
"14/09/2022","13.29","13.52","13.52","12.67","0.21K","-0.57%"
"13/09/2022","13.36","17.13","17.51","13.36","0.58K","-17.34%"
"12/09/2022","16.17","16.44","16.51","15.44","0.76K","7.12%"
"09/09/2022","15.09","14.52","15.36","14.52","0.33K","10.39%"
"08/09/2022","13.67","13.13","13.59","12.83","0.12K","8.54%"
"07/09/2022","12.60","12.60","12.83","12.52","0.13K","0.00%"
"06/09/2022","12.60","13.67","13.82","12.29","0.08K","-9.39%"
"05/09/2022","13.90","13.75","14.13","12.90","1.75K","-2.16%"
"02/09/2022","14.21","0.02","0.02","0.02","","10.12%"
"01/09/2022","12.90","14.98","14.98","12.60","0.81K","-15.37%"
"31/08/2022","15.24","16.20","16.20","15.36","0.13K","0.00%"
"30/08/2022","15.24","16.51","16.51","15.36","0.37K","-6.37%"
"26/08/2022","16.28","19.35","19.97","18.05","0.30K","-13.82%"
"25/08/2022","18.89","19.05","19.43","17.97","0.32K","-0.81%"
"24/08/2022","19.05","17.20","18.05","17.20","0.32K","8.06%"
"23/08/2022","17.63","17.66","18.36","17.66","0.78K","-3.16%"
"22/08/2022","18.20","20.58","21.04","17.97","2.67K","-18.28%"
