"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","119.86","118.77","120.05","118.26","411.29K","0.19%"
"06/27/2024","119.63","119.27","119.71","118.74","257.63K","0.61%"
"06/26/2024","118.91","117.49","118.94","117.36","215.49K","1.75%"
"06/25/2024","116.87","116.69","117.14","116.26","26.34K","-0.36%"
"06/24/2024","117.29","117.04","118.45","116.95","22.20K","0.82%"
"06/21/2024","116.34","116.46","116.88","115.94","34.40K","-1.86%"
"06/20/2024","118.55","117.70","118.90","117.62","47.17K","2.24%"
"06/18/2024","115.95","115.34","116.50","115.28","73.57K","-1.84%"
"06/17/2024","118.12","116.79","118.45","116.26","92.46K","-1.86%"
"06/14/2024","120.36","119.17","120.63","118.75","36.09K","-1.38%"
"06/13/2024","122.04","122.89","123.86","121.77","18.28K","-1.79%"
"06/12/2024","124.26","124.34","125.27","123.78","29.33K","2.35%"
"06/11/2024","121.41","121.29","121.89","120.40","28.96K","-1.96%"
"06/10/2024","123.84","124.02","124.03","122.87","22.67K","-0.73%"
"06/07/2024","124.75","124.52","125.23","124.30","43.50K","-0.80%"
"06/06/2024","125.75","126.24","126.51","125.05","33.85K","-0.06%"
"06/05/2024","125.83","127.74","127.98","124.96","28.84K","-0.47%"
"06/04/2024","126.43","127.30","127.45","125.96","20.08K","-0.15%"
"06/03/2024","126.62","127.00","127.48","125.93","99.88K","0.03%"
"05/31/2024","126.58","125.61","126.58","124.35","17.22K","0.98%"
"05/30/2024","125.35","125.02","126.14","124.55","157.58K","1.87%"
"05/29/2024","123.05","121.92","123.47","121.68","472.44K","2.22%"
"05/28/2024","120.38","120.67","121.16","119.78","185.28K","-1.24%"
"05/24/2024","121.89","120.29","121.89","120.29","94.60K","2.03%"
"05/23/2024","119.46","120.51","120.80","118.89","184.51K","-1.65%"
"05/22/2024","121.46","122.97","123.18","121.42","12.94K","-1.89%"
"05/21/2024","123.80","122.61","124.00","122.56","16.51K","0.09%"
"05/20/2024","123.69","123.62","124.23","123.19","44.47K","-0.71%"
"05/17/2024","124.57","124.61","124.83","124.03","17.37K","0.22%"
"05/16/2024","124.30","124.77","125.18","124.30","15.53K","-1.82%"
