"Date","Price","Open","High","Low","Vol.","Change %"
"26/07/2022","512.27","517.65","520.23","510.22","15.82M","-0.38%"
"25/07/2022","514.23","504.17","516.47","502.41","18.49M","2.19%"
"22/07/2022","503.19","505.24","511.00","502.02","20.76M","-1.57%"
"21/07/2022","511.20","504.07","511.20","500.07","27.91M","1.08%"
"20/07/2022","505.73","512.76","512.86","501.43","33.54M","-1.07%"
"19/07/2022","511.20","504.27","511.88","503.39","21.32M","0.69%"
"18/07/2022","507.68","509.83","511.88","506.51","22.93M","1.15%"
"15/07/2022","501.92","502.02","506.71","496.55","26.46M","0.29%"
"14/07/2022","500.46","513.35","516.57","499.67","29.41M","-2.81%"
"13/07/2022","514.91","517.16","520.28","509.93","21.09M","-0.49%"
"12/07/2022","517.45","514.81","518.04","505.14","19.50M","0.40%"
"11/07/2022","515.40","510.22","519.79","507.10","14.96M","0.36%"
"08/07/2022","513.54","519.60","519.60","507.49","20.35M","-1.83%"
"07/07/2022","523.12","513.25","525.56","512.91","28.20M","3.26%"
"06/07/2022","506.61","509.44","513.93","501.14","28.24M","-0.84%"
"05/07/2022","510.91","530.83","531.32","508.76","36.83M","-3.08%"
"04/07/2022","527.12","526.53","530.44","523.80","8.47M","0.99%"
"01/07/2022","521.94","522.92","528.00","519.50","14.94M","-0.23%"
"30/06/2022","523.12","533.18","537.38","516.18","29.52M","-2.99%"
"29/06/2022","539.23","529.66","542.50","529.07","18.71M","1.15%"
"28/06/2022","533.08","528.39","536.79","525.46","34.98M","1.34%"
"27/06/2022","526.05","525.46","528.49","519.60","46.43M","0.24%"
"24/06/2022","524.78","515.99","524.78","512.27","23.66M","2.03%"
"23/06/2022","514.32","521.85","527.12","512.96","26.88M","-1.31%"
"22/06/2022","521.16","519.60","525.17","517.35","43.78M","-0.97%"
"21/06/2022","526.24","520.58","532.98","519.40","53.35M","0.24%"
"20/06/2022","524.97","500.55","529.61","499.38","25.21M","5.66%"
"17/06/2022","496.84","505.34","511.98","495.57","72.08M","-0.57%"
"16/06/2022","499.67","515.89","519.11","498.60","48.86M","-3.58%"
"15/06/2022","518.23","512.76","524.78","512.69","60.60M","1.96%"
"14/06/2022","508.27","503.48","511.00","500.31","31.20M","3.48%"
"13/06/2022","491.18","495.18","496.35","487.95","25.99M","0.76%"
"10/06/2022","487.47","499.09","500.72","486.20","20.38M","-2.48%"
"09/06/2022","499.87","504.56","508.37","498.99","18.17M","-1.61%"
"08/06/2022","508.07","510.91","513.74","504.95","22.93M","-1.72%"
"07/06/2022","516.96","516.57","521.06","515.20","20.11M","-0.79%"
"06/06/2022","521.06","518.33","526.24","516.96","28.74M","0.73%"
"01/06/2022","517.26","521.55","524.29","515.99","37.28M","-0.64%"
"31/05/2022","520.58","512.96","522.33","511.49","88.78M","0.83%"
"30/05/2022","516.28","520.38","520.58","513.74","19.37M","-0.71%"
"27/05/2022","519.99","511.98","521.75","509.34","20.44M","1.35%"
"26/05/2022","513.06","505.73","513.74","504.75","20.17M","0.77%"
"25/05/2022","509.15","509.44","512.47","505.24","39.07M","0.46%"
"24/05/2022","506.80","486.29","510.03","483.22","63.73M","3.57%"
"23/05/2022","489.32","482.19","489.32","479.41","34.94M","2.09%"
"20/05/2022","479.31","484.44","489.22","479.21","29.53M","1.00%"
"19/05/2022","474.57","482.44","483.80","472.82","27.15M","-1.94%"
"18/05/2022","483.95","487.03","487.76","482.14","23.93M","-1.37%"
"17/05/2022","490.69","488.10","493.13","485.07","26.23M","0.77%"
"16/05/2022","486.93","484.83","491.67","483.90","18.64M","-0.57%"
"13/05/2022","489.71","480.97","489.71","480.97","44.50M","3.72%"
"12/05/2022","472.13","479.55","480.24","466.81","33.63M","-3.21%"
"11/05/2022","487.81","486.68","491.86","482.48","45.17M","0.76%"
"10/05/2022","484.15","488.20","491.08","484.15","19.19M","0.61%"
"09/05/2022","481.22","491.96","493.52","480.92","14.84M","-1.85%"
"06/05/2022","490.30","497.53","497.72","489.13","27.51M","-1.18%"
"05/05/2022","496.16","509.44","510.81","494.40","23.29M","-1.44%"
"04/05/2022","503.39","507.88","509.25","503.39","19.48M","0.51%"
"03/05/2022","500.85","492.15","500.85","489.81","25.27M","2.30%"
"29/04/2022","489.61","481.51","503.58","476.77","35.00M","1.47%"
"28/04/2022","482.53","482.97","490.40","478.04","25.56M","1.59%"
"27/04/2022","474.96","470.86","485.07","469.06","40.55M","2.63%"
"26/04/2022","462.80","477.85","485.32","461.58","40.08M","-5.53%"
"25/04/2022","489.91","502.60","503.29","488.93","28.71M","-4.15%"
"22/04/2022","511.10","519.11","522.43","510.71","18.42M","-2.53%"
"21/04/2022","524.38","525.46","525.46","521.36","22.44M","-0.21%"
"20/04/2022","525.46","513.93","528.49","511.59","26.70M","2.36%"
"19/04/2022","513.35","510.22","516.77","507.68","21.49M","0.61%"
"14/04/2022","510.22","503.00","510.32","502.21","27.22M","0.81%"
"13/04/2022","506.12","508.66","512.57","506.02","23.40M","-0.21%"
"12/04/2022","507.20","514.32","515.59","505.83","28.01M","-2.62%"
"11/04/2022","520.87","518.43","523.31","516.18","27.84M","0.62%"
"08/04/2022","517.65","515.11","518.92","512.18","20.14M","1.65%"
"07/04/2022","509.25","512.27","515.59","508.27","18.90M","-0.53%"
"06/04/2022","511.98","515.20","516.77","506.80","31.99M","-0.66%"
"05/04/2022","515.40","511.30","516.57","509.64","19.50M","0.50%"
"04/04/2022","512.86","514.62","516.67","509.05","16.19M","-0.72%"
"01/04/2022","516.57","515.11","518.52","513.25","17.65M","0.67%"
"31/03/2022","513.15","514.91","517.84","512.18","20.90M","-0.23%"
"30/03/2022","514.32","514.91","517.26","510.22","26.63M","-0.08%"
"29/03/2022","514.72","508.86","520.77","506.80","21.37M","1.60%"
"28/03/2022","506.61","510.03","514.03","505.44","27.84M","0.37%"
"25/03/2022","504.75","502.51","509.83","499.38","17.22M","-0.15%"
"24/03/2022","505.53","499.19","507.49","497.92","23.12M","1.55%"
"23/03/2022","497.82","500.36","503.58","497.82","16.41M","-1.34%"
"22/03/2022","504.56","497.04","508.66","494.99","25.11M","3.15%"
"21/03/2022","489.13","487.86","491.76","486.88","19.70M","-0.04%"
"18/03/2022","489.32","489.42","490.20","484.24","56.78M","0.08%"
"17/03/2022","488.93","487.86","491.08","478.82","31.74M","1.26%"
"16/03/2022","482.83","473.69","483.75","470.42","56.73M","3.07%"
"15/03/2022","468.47","471.74","473.26","461.83","35.83M","-2.01%"
"14/03/2022","478.09","477.55","481.26","470.08","47.46M","2.05%"
"11/03/2022","468.47","466.71","479.21","461.19","31.22M","0.87%"
"10/03/2022","464.42","465.78","469.10","455.38","28.19M","-2.76%"
"09/03/2022","477.60","474.33","477.60","464.37","31.85M","3.96%"
"08/03/2022","459.39","458.56","470.72","456.36","45.94M","0.92%"
"07/03/2022","455.19","450.45","463.78","438.73","64.34M","-0.34%"
"04/03/2022","456.75","481.07","483.22","456.70","50.39M","-5.61%"
"03/03/2022","483.90","495.96","498.99","483.27","31.66M","-2.43%"
"02/03/2022","495.96","478.48","500.36","477.65","41.41M","2.50%"
"01/03/2022","483.85","493.67","509.15","483.85","52.53M","-3.73%"
"28/02/2022","502.60","506.51","507.39","491.67","55.69M","-4.35%"
"25/02/2022","525.46","509.44","528.29","501.73","40.58M","4.73%"
"24/02/2022","501.73","518.23","524.29","501.14","49.40M","-6.22%"
"23/02/2022","535.03","536.01","540.11","533.40","22.84M","0.15%"
"22/02/2022","534.25","517.65","539.23","513.94","28.65M","0.04%"
"21/02/2022","534.05","535.23","542.55","529.37","16.64M","0.44%"
"18/02/2022","531.71","530.34","535.32","528.68","23.93M","0.80%"
"17/02/2022","527.51","534.64","534.64","521.36","20.97M","-1.50%"
"16/02/2022","535.52","540.89","546.07","531.51","18.41M","-1.17%"
"15/02/2022","541.87","533.76","544.41","532.88","44.17M","-0.61%"
"14/02/2022","545.19","545.48","551.20","539.33","29.38M","-1.59%"
"11/02/2022","553.98","545.48","553.98","543.53","23.88M","0.98%"
"10/02/2022","548.61","544.21","551.63","540.89","18.53M","0.16%"
"09/02/2022","547.73","550.36","550.74","543.92","29.31M","-0.48%"
"08/02/2022","550.36","544.99","552.95","543.92","39.00M","1.18%"
"07/02/2022","543.92","537.18","544.02","532.49","32.36M","2.18%"
"04/02/2022","532.30","535.42","536.59","528.52","20.35M","-0.24%"
"03/02/2022","533.57","534.74","539.43","530.64","30.23M","-0.02%"
"02/02/2022","533.66","535.03","536.59","527.51","26.27M","0.53%"
"01/02/2022","530.83","520.97","531.61","520.48","32.10M","3.01%"
"31/01/2022","515.30","515.89","520.76","513.93","26.80M","-0.13%"
"28/01/2022","515.99","522.53","523.51","513.35","55.70M","-1.86%"
"27/01/2022","525.75","508.46","534.27","508.27","33.98M","2.98%"
"26/01/2022","510.52","499.67","513.74","499.58","21.24M","2.61%"
"25/01/2022","497.53","487.86","497.72","481.46","25.75M","3.51%"
"24/01/2022","480.68","491.76","493.42","478.92","37.81M","-2.62%"
"21/01/2022","493.62","491.76","493.72","490.40","30.28M","-0.96%"
