Price,Open,High,Low,Vol.,Change %
297.89,299.22,305.25,296.78,17570000.0,-0.0026
298.67,298.0,307.05,292.22,33750000.0,-0.0017000000000000001
299.17,301.71,303.3,295.66,15420000.0,-0.0033
300.15,297.02,301.39,295.51,14960000.0,0.0127
296.38,299.37,301.74,294.47,12840000.0,0.0017000000000000001
295.89,295.8,301.1,295.66,17230000.0,0.0027
295.1,297.17,298.29,293.43,17720000.0,-0.0097
297.99,288.58,299.15,288.18,20840000.0,0.026600000000000002
290.26,288.0,291.45,285.8,14240000.0,0.0167
285.5,286.13,288.39,276.03,23700000.0,-0.0044
286.75,298.5,299.46,286.64,18360000.0,-0.0255
294.24,288.5,297.4,287.67,18290000.0,0.0231
287.6,292.55,292.9,286.75,13000000.0,-0.0079
289.9,283.45,290.5,281.85,20180000.0,0.0235
283.25,279.03,285.69,274.38,35350000.0,-0.006500000000000001
285.09,293.05,296.05,284.95,23950000.0,-0.0313
294.29,300.2,301.08,294.28,18550000.0,-0.0254
301.95,306.14,307.23,300.03,11620000.0,-0.0138
306.19,300.98,306.21,298.25,15640000.0,0.0151
301.64,302.57,304.72,300.36,14050000.0,-0.0134
305.74,307.94,312.34,303.87,14360000.0,0.0017000000000000001
305.21,312.88,313.63,302.85,19960000.0,-0.023799999999999998
312.64,314.4,317.89,310.11,15180000.0,-0.0124
316.56,313.23,317.07,310.46,16239999.999999998,0.018799999999999997
310.73,314.96,318.41,310.2,17610000.0,-0.0079
313.19,309.93,315.95,309.93,15220000.0,-0.0036
314.31,318.0,318.39,310.65,20460000.0,-0.026000000000000002
322.71,317.54,324.14,314.66,22890000.0,0.0129
318.6,323.69,325.66,317.59,25800000.0,-0.021099999999999997
325.48,316.88,326.2,314.25,39220000.0,0.044199999999999996
311.71,325.12,325.35,309.84,64230000.00000001,0.044000000000000004
298.57,301.19,301.77,291.9,47260000.0,0.0139
294.47,295.19,298.3,291.86,19590000.0,0.0098
